id,handle,followers_count,friends_count,isProxy
0,"jack",5724718,4448,0
1,"nytimes",50582349,852,0
2,"BarackObama",130044358,589009,0
3,"JoeBiden",31272508,48,0
4,"alf_frommer",20098,624,0
5,"derspiegel",2806114,337,0
6,"heiseonline",241361,33,0
7,"badeboom",21985,1212,0
8,"zeitonline",2361148,24,0
9,"tagesschau",3095460,321,0
10,"saschalobo",763368,6629,0
11,"greenpeace_de",449643,1618,0
12,"SPIEGEL_EIL",1866467,25,0
13,"JamesGunn",998789,1208,0
14,"WWF_Deutschland",488131,2545,0
15,"jimmyfallon",51395185,10520,0
16,"DAVID_LYNCH",3288573,42,0
17,"vodafone_de",84279,260,0
18,"Gronkh",1331029,1141,0
19,"CHIP_online",858684,319,0
20,"ZackSnyder",1277416,3,0
21,"spiegelonline",474653,278,0
22,"faznet",672815,326,0
23,"DCComics",4327595,564,0
24,"coldmirror",254348,62,0
25,"janboehm",2368308,1972,0
26,"cem_oezdemir",256390,1312,0
27,"bobbyberk",424249,754,0
28,"GolemRedaktion",81895,27,0
29,"starwars",5234346,427,0
30,"MartinSonneborn",312671,0,0
31,"GameStar_de",58168,1068,0
32,"DalaiLama",19212563,0,0
33,"kunstmuseum",7725,802,0
34,"damitdasklaas",1862557,937,0
35,"rianjohnson",1059236,1206,0
36,"ARTEde",321096,1194,0
37,"budnoob",132135,1027,0
38,"mtvgameone",60032,42,0
39,"Bimon",155303,1472,0
40,"EtienneToGo",268449,1325,0
41,"PalinaRojinski",581471,230,0
42,"elonmusk",60243764,105,0
43,"dlfnova",98426,2096,0
44,"BillGates",55570971,318,0
45,"JimCarrey",18648573,1,0
46,"20thCenturyDE",21789,750,0
47,"DiePARTEI",214592,374,0
48,"ItsJoshPeck",2667354,484,0
49,"ZDFneo",185962,369,0
50,"OfficialHIMYM",899587,83,0
51,"boedefeld_",123755,243,0
52,"SamuelLJackson",8839908,871,0
53,"zachbraff",1956474,209,0
54,"NelaLee",160983,189,0
55,"BelliBell",27602,200,0
56,"kurt_kroemer",13231,0,0
57,"ZDFkultur",20534,201,0
58,"IanMcKellen",4120684,835,0
59,"Der_Postillon",1178405,196,0
60,"SZ",1726066,406,0
61,"officiallyjoko",2147405,862,0
62,"c_lindner",491261,1375,0
63,"Pommes_Ruppel",108840,567,0
64,"EmmaWatson",28899722,397,0
65,"elijahwood",956282,3209,0
66,"realbdw",232975,53,0
67,"BTFcologne",25574,410,0
68,"TheRock",15398901,314,0
69,"Lugetersch",14205,855,0
70,"overmacs",225,266,0
71,"RegierungBW",86053,1137,0
72,"HamillHimself",4790667,871,0
73,"mattdavella",89738,1,0
74,"jonathansfrakes",543525,783,0
75,"TheRocketBeans",185011,911,0
76,"Apple",6950511,0,0
77,"fraubauerfeind",110796,487,0
78,"HansZimmer",264293,69,0
79,"Karamo",449356,1317,0
80,"JoshRadnor",612657,891,0
81,"NintendoDE",207784,6,0
82,"CohnWilliam",72414,23,0
83,"ChrisEvans",15098306,724,0
84,"kaffeecup",50380,399,0
85,"Dave2D",310065,102,0
86,"antoni",578728,450,0
87,"LeSchroeck",54174,222,0
88,"GregorGysi",425492,147,0
89,"elhotzo",207906,556,0
90,"Luisamneubauer",300538,1394,0
91,"ZDFheute",777671,322,0
92,"zdfmagazin",714886,3,0
93,"ClausKleber",379057,82,0
94,"jvn",825331,739,0
95,"alkoholcola",4074,10,0
96,"netzbasteln",2949,382,0
97,"Kurz_Gesagt",382848,159,0
98,"EmmanuelMacron",7313796,723,0
99,"billieeilish",6252589,0,0
100,"Gurasshu",13,158,0
101,"ABaerbock",375448,1467,0
102,"ItsPiet",1348,78,0
103,"StephenKing",6542394,134,0
104,"NetflixDE",1426144,870,0
105,"SchulzundBoemi",72570,71,0
106,"c_drosten",792604,138,0
107,"AntjeWessels",13806,166,0
108,"onthisdayinLotR",28583,2,0
109,"rischisseur",16192,523,0
110,"MuseumVillaRot",146,62,0
111,"herbstblond",117647,127,0
112,"Kurzgesagt_DE",2160,29,0
113,"stevengaetjen",37299,259,0
114,"ankelaufer",5,10,0
115,"JohnBoyega",2067848,578,0
116,"Karl_Lauterbach",597285,284,0
117,"sundb",81567,18,0
118,"MrPolarfuchs",2,54,0
119,"SachaBaronCohen",786680,13,0
120,"GretaThunberg",5041708,2653,0
121,"FridayForFuture",202164,982,0
122,"Eva__Weingart",2,0,0
123,"linaspyridoula",8,7,0
124,"t1m3isjstaw0rd",23,82,0
125,"InsaneLetterbox",159593,33,0
126,"obsdmd",34549,2,0
127,"Faktillon",79613,180,0
128,"BearNotesApp",23580,16,0
129,"NotePlanApp",1880,1,0
130,"StarTrekOnPPlus",189409,170,0
131,"postillleaks",32870,467,0
132,"AnthonyHopkins",905594,44,0
133,"Volksverpetzer",249269,702,0
134,"VideoArtGame",74808,60,0
135,"QueerEye",456282,37,0
136,"TheFrankOzJam",131858,58,0
137,"netflixqueue",346214,723,0